"cty","Name","Individual_Income_Excluding_Spouse_rW_gM_p25"
"cty06109","Tuolumne County, CA",28662
"cty17063","Grundy County, IL",28654
"cty29135","Moniteau County, MO",28653
"cty51149","Prince George County, VA",28647
"cty50003","Bennington County, VT",28642
"cty39069","Henry County, OH",28637
"cty55127","Walworth County, WI",28634
"cty42101","Philadelphia County, PA",28632
"cty39035","Cuyahoga County, OH",28631
"cty18099","Marshall County, IN",28618
"cty40031","Comanche County, OK",28609
"cty36117","Wayne County, NY",28605
"cty21183","Ohio County, KY",28601
"cty08001","Adams County, CO",28579
"cty36037","Genesee County, NY",28576
"cty50027","Windsor County, VT",28575
"cty28127","Simpson County, MS",28570
"cty40027","Cleveland County, OK",28567
"cty41071","Yamhill County, OR",28562
"cty40047","Garfield County, OK",28561
"cty26115","Monroe County, MI",28559
"cty20097","Kiowa County, KS",28559
"cty44009","Washington County, RI",28558
"cty39085","Lake County, OH",28556
"cty28131","Stone County, MS",28552
"cty42043","Dauphin County, PA",28550
"cty16027","Canyon County, ID",28550
"cty12117","Seminole County, FL",28546
"cty06071","San Bernardino County, CA",28544
"cty55139","Winnebago County, WI",28541
"cty45071","Newberry County, SC",28539
"cty55117","Sheboygan County, WI",28536
"cty18111","Newton County, IN",28534
"cty54101","Webster County, WV",28530
"cty01097","Mobile County, AL",28529
"cty51840","Winchester city, VA",28521
"cty17089","Kane County, IL",28517
"cty06065","Riverside County, CA",28515
"cty53005","Benton County, WA",28513
"cty32005","Douglas County, NV",28509
"cty42133","York County, PA",28507
"cty54105","Wirt County, WV",28502
"cty21157","Marshall County, KY",28502
"cty36025","Delaware County, NY",28499
"cty48349","Navarro County, TX",28488
"cty22017","Caddo Parish, LA",28482
"cty41015","Curry County, OR",28480
"cty37183","Wake County, NC",28477
"cty17109","McDonough County, IL",28477
"cty31109","Lancaster County, NE",28471
"cty55125","Vilas County, WI",28469
"cty42041","Cumberland County, PA",28469
"cty05011","Bradley County, AR",28464
"cty06009","Calaveras County, CA",28463
"cty40081","Lincoln County, OK",28462
"cty20045","Douglas County, KS",28456
"cty29137","Monroe County, MO",28455
"cty18015","Carroll County, IN",28454
"cty54001","Barbour County, WV",28451
"cty26113","Missaukee County, MI",28447
"cty36031","Essex County, NY",28444
"cty42083","McKean County, PA",28438
"cty18151","Steuben County, IN",28435
"cty48055","Caldwell County, TX",28421
"cty17135","Montgomery County, IL",28405
"cty20015","Butler County, KS",28399
"cty22025","Catahoula Parish, LA",28375
"cty20105","Lincoln County, KS",28373
"cty29115","Linn County, MO",28361
"cty51147","Prince Edward County, VA",28352
"cty55077","Marquette County, WI",28347
"cty48453","Travis County, TX",28346
"cty55025","Dane County, WI",28339
"cty17049","Effingham County, IL",28339
"cty39059","Guernsey County, OH",28333
"cty41059","Umatilla County, OR",28329
"cty16001","Ada County, ID",28329
"cty13049","Charlton County, GA",28329
"cty05081","Little River County, AR",28324
"cty17161","Rock Island County, IL",28321
"cty13017","Ben Hill County, GA",28320
"cty08041","El Paso County, CO",28319
"cty17083","Jersey County, IL",28312
"cty17009","Brown County, IL",28308
"cty39039","Defiance County, OH",28306
"cty41027","Hood River County, OR",28306
"cty45027","Clarendon County, SC",28295
"cty48343","Morris County, TX",28290
"cty29189","St. Louis County, MO",28286
"cty48315","Marion County, TX",28285
"cty01013","Butler County, AL",28282
"cty42079","Luzerne County, PA",28281
"cty48429","Stephens County, TX",28273
"cty55137","Waushara County, WI",28270
"cty17099","LaSalle County, IL",28264
"cty51133","Northumberland County, VA",28262
"cty53011","Clark County, WA",28261
"cty17077","Jackson County, IL",28258
"cty20059","Franklin County, KS",28255
"cty24003","Anne Arundel County, MD",28250
"cty16069","Nez Perce County, ID",28248
"cty32031","Washoe County, NV",28244
"cty28149","Warren County, MS",28240
"cty55041","Forest County, WI",28239
"cty45075","Orangeburg County, SC",28236
"cty13067","Cobb County, GA",28235
"cty20207","Woodson County, KS",28235
"cty13103","Effingham County, GA",28234
"cty26093","Livingston County, MI",28233
"cty36113","Warren County, NY",28227
"cty37137","Pamlico County, NC",28224
"cty20125","Montgomery County, KS",28217
"cty42035","Clinton County, PA",28216
"cty44003","Kent County, RI",28211
"cty50007","Chittenden County, VT",28210
"cty26097","Mackinac County, MI",28205
"cty12087","Monroe County, FL",28196
"cty17195","Whiteside County, IL",28195
"cty13125","Glascock County, GA",28188
"cty12011","Broward County, FL",28179
"cty26119","Montmorency County, MI",28178
"cty54097","Upshur County, WV",28177
"cty05135","Sharp County, AR",28177
"cty37095","Hyde County, NC",28175
"cty21155","Marion County, KY",28173
"cty17141","Ogle County, IL",28170
"cty22073","Ouachita Parish, LA",28168
"cty06099","Stanislaus County, CA",28164
"cty54033","Harrison County, WV",28154
"cty39169","Wayne County, OH",28152
"cty53003","Asotin County, WA",28152
"cty48299","Llano County, TX",28150
"cty42085","Mercer County, PA",28149
"cty13289","Twiggs County, GA",28149
"cty53053","Pierce County, WA",28148
"cty40143","Tulsa County, OK",28144
"cty05147","Woodruff County, AR",28143
"cty19183","Washington County, IA",28143
"cty54061","Monongalia County, WV",28141
"cty09005","Litchfield County, CT",28140
"cty42039","Crawford County, PA",28140
"cty18047","Franklin County, IN",28139
"cty12099","Palm Beach County, FL",28137
"cty18077","Jefferson County, IN",28136
"cty33017","Strafford County, NH",28132
"cty26041","Delta County, MI",28131
"cty27031","Cook County, MN",28125
"cty13193","Macon County, GA",28121
"cty50017","Orange County, VT",28113
"cty23031","York County, ME",28110
"cty17001","Adams County, IL",28102
"cty18173","Warrick County, IN",28094
"cty17175","Stark County, IL",28090
"cty28051","Holmes County, MS",28088
"cty41053","Polk County, OR",28086
"cty21221","Trigg County, KY",28076
"cty26013","Baraga County, MI",28073
"cty48037","Bowie County, TX",28070
"cty40133","Seminole County, OK",28065
"cty34001","Atlantic County, NJ",28063
"cty18121","Parke County, IN",28062
"cty19039","Clarke County, IA",28062
"cty39147","Seneca County, OH",28059
"cty55007","Bayfield County, WI",28058
"cty48119","Delta County, TX",28055
"cty41017","Deschutes County, OR",28054
"cty39077","Huron County, OH",28053
"cty21185","Oldham County, KY",28051
"cty48005","Angelina County, TX",28050
"cty48109","Culberson County, TX",28050
"cty19087","Henry County, IA",28049
"cty42037","Columbia County, PA",28049
"cty42055","Franklin County, PA",28045
"cty17153","Pulaski County, IL",28044
"cty22103","St. Tammany Parish, LA",28043
"cty05139","Union County, AR",28042
"cty37015","Bertie County, NC",28039
"cty36123","Yates County, NY",28033
"cty48099","Coryell County, TX",28031
"cty48209","Hays County, TX",28031
"cty26055","Grand Traverse County, MI",28022
"cty30011","Carter County, MT",28004
"cty06077","San Joaquin County, CA",28001
"cty19155","Pottawattamie County, IA",27991
"cty41003","Benton County, OR",27991
"cty29053","Cooper County, MO",27980
"cty18063","Hendricks County, IN",27976
"cty24019","Dorchester County, MD",27961
"cty42111","Somerset County, PA",27955
"cty05041","Desha County, AR",27954
"cty20133","Neosho County, KS",27937
"cty26103","Marquette County, MI",27930
"cty48063","Camp County, TX",27930
"cty28095","Monroe County, MS",27920
"cty23025","Somerset County, ME",27917
"cty48293","Limestone County, TX",27914
"cty39063","Hancock County, OH",27909
"cty18045","Fountain County, IN",27908
"cty18083","Knox County, IN",27902
"cty35001","Bernalillo County, NM",27900
"cty29089","Howard County, MO",27892
"cty04027","Yuma County, AZ",27890
"cty24029","Kent County, MD",27890
"cty24047","Worcester County, MD",27887
"cty50001","Addison County, VT",27877
"cty05001","Arkansas County, AR",27863
"cty17021","Christian County, IL",27863
"cty06057","Nevada County, CA",27860
"cty06031","Kings County, CA",27853
"cty20169","Saline County, KS",27848
"cty12086","Miami-Dade County, FL",27844
"cty36051","Livingston County, NY",27840
"cty13089","DeKalb County, GA",27838
"cty48309","McLennan County, TX",27835
"cty18031","Decatur County, IN",27835
"cty36013","Chautauqua County, NY",27816
"cty36065","Oneida County, NY",27806
"cty23003","Aroostook County, ME",27805
"cty53027","Grays Harbor County, WA",27796
"cty54019","Fayette County, WV",27795
"cty51053","Dinwiddie County, VA",27794
"cty32029","Storey County, NV",27789
"cty05117","Prairie County, AR",27787
"cty13135","Gwinnett County, GA",27782
"cty15009","Maui County, HI",27781
"cty28049","Hinds County, MS",27779
"cty53077","Yakima County, WA",27777
"cty12085","Martin County, FL",27774
"cty33013","Merrimack County, NH",27771
"cty29011","Barton County, MO",27769
"cty08043","Fremont County, CO",27763
"cty17159","Richland County, IL",27761
"cty16005","Bannock County, ID",27760
"cty39043","Erie County, OH",27756
"cty29025","Caldwell County, MO",27756
"cty40121","Pittsburg County, OK",27751
"cty21149","McLean County, KY",27748
"cty17105","Livingston County, IL",27735
"cty54049","Marion County, WV",27733
"cty17061","Greene County, IL",27732
"cty51003","Albemarle County, VA",27732
"cty48213","Henderson County, TX",27731
"cty05071","Johnson County, AR",27730
"cty54069","Ohio County, WV",27729
"cty40145","Wagoner County, OK",27725
"cty55069","Lincoln County, WI",27723
"cty29219","Warren County, MO",27720
"cty17177","Stephenson County, IL",27719
"cty40079","Le Flore County, OK",27718
"cty36063","Niagara County, NY",27717
"cty48147","Fannin County, TX",27710
"cty15001","Hawaii County, HI",27704
"cty18049","Fulton County, IN",27701
"cty48485","Wichita County, TX",27696
"cty18107","Montgomery County, IN",27691
"cty29039","Cedar County, MO",27689
"cty17145","Perry County, IL",27685
"cty54067","Nicholas County, WV",27683
"cty05017","Chicot County, AR",27674
"cty21077","Gallatin County, KY",27672
"cty20005","Atchison County, KS",27671
"cty36053","Madison County, NY",27667
"cty35023","Hidalgo County, NM",27664
"cty40035","Craig County, OK",27663
"cty51041","Chesterfield County, VA",27654
"cty48173","Glasscock County, TX",27652
"cty26099","Macomb County, MI",27651
"cty42093","Montour County, PA",27638
"cty55057","Juneau County, WI",27620
"cty54093","Tucker County, WV",27618
"cty36067","Onondaga County, NY",27615
"cty13219","Oconee County, GA",27615
"cty39005","Ashland County, OH",27604
"cty45037","Edgefield County, SC",27602
"cty40123","Pontotoc County, OK",27600
"cty13151","Henry County, GA",27598
"cty41055","Sherman County, OR",27594
"cty06049","Modoc County, CA",27585
"cty37061","Duplin County, NC",27583
"cty12043","Glades County, FL",27576
"cty16079","Shoshone County, ID",27574
"cty33007","Coos County, NH",27572
"cty48019","Bandera County, TX",27570
"cty28087","Lowndes County, MS",27566
"cty13093","Dooly County, GA",27565
"cty40037","Creek County, OK",27561
"cty26027","Cass County, MI",27560
"cty23005","Cumberland County, ME",27553
"cty55001","Adams County, WI",27551
"cty48113","Dallas County, TX",27550
"cty05101","Newton County, AR",27549
"cty17163","St. Clair County, IL",27547
"cty51595","Emporia city, VA",27546
"cty29101","Johnson County, MO",27546
"cty12123","Taylor County, FL",27517
"cty37013","Beaufort County, NC",27516
"cty49033","Rich County, UT",27510
"cty05007","Benton County, AR",27504
"cty06067","Sacramento County, CA",27498
"cty33005","Cheshire County, NH",27493
"cty48267","Kimble County, TX",27490
"cty36043","Herkimer County, NY",27489
"cty45013","Beaufort County, SC",27485
"cty39065","Hardin County, OH",27474
"cty08065","Lake County, CO",27473
"cty05091","Miller County, AR",27471
"cty28109","Pearl River County, MS",27466
"cty53009","Clallam County, WA",27457
"cty40097","Mayes County, OK",27452
"cty06047","Merced County, CA",27439
"cty51660","Harrisonburg city, VA",27438
"cty40091","McIntosh County, OK",27437
"cty13247","Rockdale County, GA",27437
"cty18057","Hamilton County, IN",27433
"cty35057","Torrance County, NM",27432
"cty21055","Crittenden County, KY",27431
"cty01065","Hale County, AL",27428
"cty42099","Perry County, PA",27426
"cty26125","Oakland County, MI",27425
"cty09011","New London County, CT",27422
"cty05133","Sevier County, AR",27422
"cty55079","Milwaukee County, WI",27419
"cty13273","Terrell County, GA",27419
"cty36077","Otsego County, NY",27413
"cty06039","Madera County, CA",27408
"cty24023","Garrett County, MD",27402
"cty48257","Kaufman County, TX",27395
"cty01033","Colbert County, AL",27393
"cty08007","Archuleta County, CO",27392
"cty06019","Fresno County, CA",27390
"cty35013","Do±íáüna County, NM",27390
"cty28063","Jefferson County, MS",27384
"cty06053","Monterey County, CA",27382
"cty36073","Orleans County, NY",27367
"cty41047","Marion County, OR",27366
"cty33009","Grafton County, NH",27364
"cty39109","Miami County, OH",27354
"cty55053","Jackson County, WI",27352
"cty42109","Snyder County, PA",27352
"cty51025","Brunswick County, VA",27351
"cty12003","Baker County, FL",27350
"cty42009","Bedford County, PA",27347
"cty28105","Oktibbeha County, MS",27344
"cty01085","Lowndes County, AL",27342
"cty05003","Ashley County, AR",27341
"cty29185","St. Clair County, MO",27328
"cty36109","Tompkins County, NY",27320
"cty18171","Warren County, IN",27312
"cty01125","Tuscaloosa County, AL",27312
"cty36011","Cayuga County, NY",27309
"cty28017","Chickasaw County, MS",27305
"cty39143","Sandusky County, OH",27305
"cty48379","Rains County, TX",27302
"cty54085","Ritchie County, WV",27296
"cty29159","Pettis County, MO",27290
"cty51650","Hampton city, VA",27288
"cty01047","Dallas County, AL",27287
"cty53063","Spokane County, WA",27285
"cty18141","St. Joseph County, IN",27282
"cty39149","Shelby County, OH",27282
"cty29103","Knox County, MO",27280
"cty47083","Houston County, TN",27279
"cty05019","Clark County, AR",27271
"cty36009","Cattaraugus County, NY",27268
"cty16039","Elmore County, ID",27268
"cty20037","Crawford County, KS",27258
"cty26095","Luce County, MI",27253
"cty12051","Hendry County, FL",27252
"cty40109","Oklahoma County, OK",27243
"cty51810","Virginia Beach city, VA",27243
"cty29171","Putnam County, MO",27238
"cty36033","Franklin County, NY",27235
"cty17057","Fulton County, IL",27224
"cty28151","Washington County, MS",27223
"cty13177","Lee County, GA",27211
"cty17107","Logan County, IL",27205
"cty20003","Anderson County, KS",27203
"cty36105","Sullivan County, NY",27201
"cty12077","Liberty County, FL",27199
"cty06105","Trinity County, CA",27198
"cty53035","Kitsap County, WA",27197
"cty21123","Larue County, KY",27197
"cty42049","Erie County, PA",27185
"cty28059","Jackson County, MS",27183
"cty28129","Smith County, MS",27158
"cty36007","Broome County, NY",27150
"cty48487","Wilbarger County, TX",27145
"cty18003","Allen County, IN",27139
"cty37179","Union County, NC",27134
"cty41051","Multnomah County, OR",27124
"cty51009","Amherst County, VA",27122
"cty45035","Dorchester County, SC",27117
"cty55059","Kenosha County, WI",27117
"cty29083","Henry County, MO",27115
"cty18153","Sullivan County, IN",27108
"cty06107","Tulare County, CA",27107
"cty21033","Caldwell County, KY",27102
"cty20011","Bourbon County, KS",27102
"cty05113","Polk County, AR",27090
"cty51093","Isle of Wight County, VA",27090
"cty13133","Greene County, GA",27082
"cty41035","Klamath County, OR",27071
"cty55103","Richland County, WI",27068
"cty20203","Wichita County, KS",27066
"cty04019","Pima County, AZ",27062
"cty21219","Todd County, KY",27058
"cty16075","Payette County, ID",27055
"cty32003","Clark County, NV",27053
"cty36021","Columbia County, NY",27049
"cty39133","Portage County, OH",27042
"cty55067","Langlade County, WI",27036
"cty13279","Toombs County, GA",27032
"cty20173","Sedgwick County, KS",27031
"cty19179","Wapello County, IA",27030
"cty08101","Pueblo County, CO",27029
"cty50025","Windham County, VT",27029
"cty05099","Nevada County, AR",27026
"cty13001","Appling County, GA",27024
"cty17113","McLean County, IL",27024
"cty32510","Carson City, NV",27022
"cty30033","Garfield County, MT",27020
"cty39041","Delaware County, OH",27017
"cty36035","Fulton County, NY",27017
"cty05015","Carroll County, AR",27016
"cty39003","Allen County, OH",27016
"cty51119","Middlesex County, VA",27015
"cty54079","Putnam County, WV",27009
"cty29199","Scotland County, MO",27000
"cty36019","Clinton County, NY",26988
"cty28097","Montgomery County, MS",26988
"cty47187","Williamson County, TN",26982
"cty51005","Alleghany County, VA",26980
"cty53069","Wahkiakum County, WA",26967
"cty37063","Durham County, NC",26961
"cty13057","Cherokee County, GA",26951
"cty17055","Franklin County, IL",26949
"cty51011","Appomattox County, VA",26943
"cty39029","Columbiana County, OH",26941
"cty39095","Lucas County, OH",26938
"cty29067","Douglas County, MO",26934
"cty29019","Boone County, MO",26923
"cty01117","Shelby County, AL",26920
"cty18117","Orange County, IN",26914
"cty21093","Hardin County, KY",26912
"cty18161","Union County, IN",26907
"cty17017","Cass County, IL",26903
"cty12039","Gadsden County, FL",26900
"cty36101","Steuben County, NY",26900
"cty29209","Stone County, MO",26900
"cty26033","Chippewa County, MI",26897
"cty51021","Bland County, VA",26897
"cty13199","Meriwether County, GA",26896
"cty26127","Oceana County, MI",26891
"cty29095","Jackson County, MO",26889
"cty26015","Barry County, MI",26887
"cty04015","Mohave County, AZ",26885
"cty21059","Daviess County, KY",26885
"cty51095","James City County, VA",26885
"cty01007","Bibb County, AL",26879
"cty01079","Lawrence County, AL",26867
"cty32015","Lander County, NV",26866
"cty39165","Warren County, OH",26864
"cty51700","Newport News city, VA",26857
"cty05073","Lafayette County, AR",26841
"cty40125","Pottawatomie County, OK",26839
"cty18091","LaPorte County, IN",26835
"cty45081","Saluda County, SC",26832
"cty53039","Klickitat County, WA",26832
"cty36115","Washington County, NY",26825
"cty12001","Alachua County, FL",26823
"cty06103","Tehama County, CA",26819
"cty05061","Howard County, AR",26818
"cty12121","Suwannee County, FL",26817
"cty13007","Baker County, GA",26816
"cty47127","Moore County, TN",26815
"cty17039","De Witt County, IL",26815
"cty30003","Big Horn County, MT",26814
"cty41019","Douglas County, OR",26812
"cty35035","Otero County, NM",26811
"cty28123","Scott County, MS",26805
"cty36003","Allegany County, NY",26804
"cty05141","Van Buren County, AR",26802
"cty41007","Clatsop County, OR",26797
"cty13309","Wheeler County, GA",26795
"cty51161","Roanoke County, VA",26793
"cty13073","Columbia County, GA",26792
"cty47069","Hardeman County, TN",26788
"cty39135","Preble County, OH",26787
"cty39081","Jefferson County, OH",26787
"cty46095","Mellette County, SD",26780
"cty29081","Harrison County, MO",26776
"cty45055","Kershaw County, SC",26775
"cty18033","DeKalb County, IN",26770
"cty05123","St. Francis County, AR",26766
"cty47159","Smith County, TN",26761
"cty20177","Shawnee County, KS",26756
"cty13261","Sumter County, GA",26751
"cty53067","Thurston County, WA",26748
"cty54057","Mineral County, WV",26745
"cty26091","Lenawee County, MI",26742
"cty48217","Hill County, TX",26740
"cty18133","Putnam County, IN",26738
"cty23017","Oxford County, ME",26737
"cty51023","Botetourt County, VA",26734
"cty12015","Charlotte County, FL",26734
"cty20001","Allen County, KS",26732
"cty06089","Shasta County, CA",26721
"cty51540","Charlottesville city, VA",26717
"cty18029","Dearborn County, IN",26716
"cty26023","Branch County, MI",26709
"cty51145","Powhatan County, VA",26705
"cty51159","Richmond County, VA",26701
"cty12049","Hardee County, FL",26700
"cty06011","Colusa County, CA",26700
"cty39159","Union County, OH",26698
"cty26007","Alpena County, MI",26697
"cty13211","Morgan County, GA",26694
"cty36023","Cortland County, NY",26682
"cty21107","Hopkins County, KY",26679
"cty28083","Leflore County, MS",26663
"cty22117","Washington Parish, LA",26662
"cty33001","Belknap County, NH",26659
"cty36017","Chenango County, NY",26657
"cty51165","Rockingham County, VA",26656
"cty40115","Ottawa County, OK",26641
"cty40023","Choctaw County, OK",26640
"cty39161","Van Wert County, OH",26637
"cty21115","Johnson County, KY",26637
"cty41043","Linn County, OR",26634
"cty34011","Cumberland County, NJ",26632
"cty17143","Peoria County, IL",26632
"cty05057","Hempstead County, AR",26631
"cty29127","Marion County, MO",26630
"cty45015","Berkeley County, SC",26628
"cty17137","Morgan County, IL",26621
"cty18059","Hancock County, IN",26620
"cty01031","Coffee County, AL",26619
"cty55105","Rock County, WI",26618
"cty29009","Barry County, MO",26614
"cty40113","Osage County, OK",26610
"cty29117","Livingston County, MO",26610
"cty13087","Decatur County, GA",26605
"cty18021","Clay County, IN",26595
"cty24043","Washington County, MD",26595
"cty13029","Bryan County, GA",26594
"cty32019","Lyon County, NV",26586
"cty39167","Washington County, OH",26578
"cty51061","Fauquier County, VA",26577
"cty42087","Mifflin County, PA",26574
"cty39083","Knox County, OH",26570
"cty28045","Hancock County, MS",26570
"cty35061","Valencia County, NM",26568
"cty17171","Scott County, IL",26567
"cty47015","Cannon County, TN",26563
"cty42057","Fulton County, PA",26562
"cty36075","Oswego County, NY",26561
"cty39021","Champaign County, OH",26559
"cty51570","Colonial Heights city, VA",26549
"cty29051","Cole County, MO",26544
"cty51083","Halifax County, VA",26524
"cty01003","Baldwin County, AL",26523
"cty48027","Bell County, TX",26522
"cty32023","Nye County, NV",26518
"cty48231","Hunt County, TX",26518
"cty13205","Mitchell County, GA",26517
"cty48181","Grayson County, TX",26509
"cty29091","Howell County, MO",26505
"cty41039","Lane County, OR",26499
"cty28033","DeSoto County, MS",26499
"cty29149","Oregon County, MO",26499
"cty41013","Crook County, OR",26496
"cty19111","Lee County, IA",26495
"cty26081","Kent County, MI",26488
"cty17179","Tazewell County, IL",26487
"cty36097","Schuyler County, NY",26481
"cty28121","Rankin County, MS",26471
"cty21201","Robertson County, KY",26471
"cty54059","Mingo County, WV",26468
"cty13265","Taliaferro County, GA",26460
"cty26135","Oscoda County, MI",26457
"cty47071","Hardin County, TN",26453
"cty42123","Warren County, PA",26449
"cty06033","Lake County, CA",26448
"cty01111","Randolph County, AL",26445
"cty39171","Williams County, OH",26439
"cty54083","Randolph County, WV",26425
"cty26163","Wayne County, MI",26418
"cty22065","Madison Parish, LA",26418
"cty18101","Martin County, IN",26415
"cty24039","Somerset County, MD",26414
"cty26087","Lapeer County, MI",26410
"cty12071","Lee County, FL",26408
"cty21083","Graves County, KY",26406
"cty29065","Dent County, MO",26405
"cty29145","Newton County, MO",26399
"cty01131","Wilcox County, AL",26396
"cty28093","Marshall County, MS",26395
"cty05047","Franklin County, AR",26387
"cty45019","Charleston County, SC",26382
"cty48449","Titus County, TX",26379
"cty12097","Osceola County, FL",26377
"cty41011","Coos County, OR",26365
"cty26161","Washtenaw County, MI",26363
"cty26153","Schoolcraft County, MI",26360
"cty21041","Carroll County, KY",26360
"cty29113","Lincoln County, MO",26353
"cty18055","Greene County, IN",26353
"cty29213","Taney County, MO",26347
"cty06007","Butte County, CA",26345
"cty51550","Chesapeake city, VA",26344
"cty05023","Cleburne County, AR",26344
"cty24001","Allegany County, MD",26344
"cty05035","Crittenden County, AR",26341
"cty17115","Macon County, IL",26336
"cty54091","Taylor County, WV",26333
"cty48047","Brooks County, TX",26324
"cty29163","Pike County, MO",26323
"cty28009","Benton County, MS",26323
"cty36045","Jefferson County, NY",26322
"cty20021","Cherokee County, KS",26316
"cty05143","Washington County, AR",26309
"cty17101","Lawrence County, IL",26306
"cty28035","Forrest County, MS",26303
"cty29155","Pemiscot County, MO",26296
"cty51800","Suffolk city, VA",26292
"cty51143","Pittsylvania County, VA",26284
"cty09015","Windham County, CT",26282
"cty50009","Essex County, VT",26278
"cty05145","White County, AR",26270
"cty13287","Turner County, GA",26263
"cty18149","Starke County, IN",26258
"cty26133","Osceola County, MI",26257
"cty13257","Stephens County, GA",26250
"cty29043","Christian County, MO",26248
"cty19185","Wayne County, IA",26241
"cty01115","St. Clair County, AL",26236
"cty51069","Frederick County, VA",26236
"cty48277","Lamar County, TX",26231
"cty36107","Tioga County, NY",26228
"cty51678","Lexington city, VA",26225
"cty02198","Prince of Wales-Hyder Census Area, AK",26224
"cty47181","Wayne County, TN",26216
"cty13039","Camden County, GA",26212
"cty37037","Chatham County, NC",26209
"cty23011","Kennebec County, ME",26207
"cty29013","Bates County, MO",26206
"cty26105","Mason County, MI",26202
"cty29031","Cape Girardeau County, MO",26201
"cty13147","Hart County, GA",26200
"cty12073","Leon County, FL",26198
"cty29001","Adair County, MO",26197
"cty05087","Madison County, AR",26196
"cty36089","St. Lawrence County, NY",26187
"cty28075","Lauderdale County, MS",26186
"cty13117","Forsyth County, GA",26183
"cty29071","Franklin County, MO",26180
"cty21229","Washington County, KY",26178
"cty55051","Iron County, WI",26175
"cty41041","Lincoln County, OR",26169
"cty51015","Augusta County, VA",26166
"cty21039","Carlisle County, KY",26166
"cty24041","Talbot County, MD",26164
"cty05105","Perry County, AR",26150
"cty23015","Lincoln County, ME",26148
"cty12035","Flagler County, FL",26147
"cty01051","Elmore County, AL",26145
"cty01063","Greene County, AL",26144
"cty23009","Hancock County, ME",26143
"cty51163","Rockbridge County, VA",26143
"cty01021","Chilton County, AL",26136
"cty18103","Miami County, IN",26136
"cty18155","Switzerland County, IN",26129
"cty51680","Lynchburg city, VA",26123
"cty01027","Clay County, AL",26122
"cty26021","Berrien County, MI",26119
"cty26137","Otsego County, MI",26116
"cty13229","Pierce County, GA",26116
"cty45003","Aiken County, SC",26109
"cty26017","Bay County, MI",26107
"cty12115","Sarasota County, FL",26106
"cty01045","Dale County, AL",26100
"cty29119","McDonald County, MO",26093
"cty39153","Summit County, OH",26090
"cty26101","Manistee County, MI",26089
"cty13185","Lowndes County, GA",26088
"cty21047","Christian County, KY",26085
"cty13003","Atkinson County, GA",26081
"cty08055","Huerfano County, CO",26081
"cty12013","Calhoun County, FL",26080
"cty17181","Union County, IL",26075
"cty37147","Pitt County, NC",26072
"cty06115","Yuba County, CA",26070
"cty26047","Emmet County, MI",26070
"cty13179","Liberty County, GA",26070
"cty23001","Androscoggin County, ME",26063
"cty17095","Knox County, IL",26061
"cty40135","Sequoyah County, OK",26057
"cty41029","Jackson County, OR",26056
"cty28155","Webster County, MS",26052
"cty13031","Bulloch County, GA",26051
"cty42013","Blair County, PA",26050
"cty51111","Lunenburg County, VA",26049
"cty42023","Cameron County, PA",26044
"cty47161","Stewart County, TN",26041
"cty18071","Jackson County, IN",26039
"cty51183","Sussex County, VA",26032
"cty48053","Burnet County, TX",26025
"cty05115","Pope County, AR",26024
"cty17119","Madison County, IL",26018
"cty23019","Penobscot County, ME",26013
"cty13051","Chatham County, GA",26006
"cty01077","Lauderdale County, AL",26006
"cty21223","Trimble County, KY",26003
"cty13043","Candler County, GA",26003
"cty29153","Ozark County, MO",26003
"cty37083","Halifax County, NC",26002
"cty13085","Dawson County, GA",26002
"cty17201","Winnebago County, IL",25999
"cty17183","Vermilion County, IL",25996
"cty15007","Kauai County, HI",25992
"cty18157","Tippecanoe County, IN",25991
"cty04021","Pinal County, AZ",25990
"cty21075","Fulton County, KY",25990
"cty26107","Mecosta County, MI",25981
"cty29099","Jefferson County, MO",25979
"cty29229","Wright County, MO",25974
"cty21145","McCracken County, KY",25973
"cty21015","Boone County, KY",25972
"cty05093","Mississippi County, AR",25970
"cty28013","Calhoun County, MS",25969
"cty21063","Elliott County, KY",25961
"cty25003","Berkshire County, MA",25960
"cty26157","Tuscola County, MI",25958
"cty10003","New Castle County, DE",25946
"cty05021","Clay County, AR",25946
"cty47165","Sumner County, TN",25944
"cty45061","Lee County, SC",25943
"cty47147","Robertson County, TN",25942
"cty26045","Eaton County, MI",25939
"cty28029","Copiah County, MS",25939
"cty51171","Shenandoah County, VA",25938
"cty45041","Florence County, SC",25933
"cty39093","Lorain County, OH",25915
"cty51031","Campbell County, VA",25915
"cty26067","Ionia County, MI",25906
"cty12109","St. Johns County, FL",25904
"cty54009","Brooke County, WV",25904
"cty21211","Shelby County, KY",25902
"cty39091","Logan County, OH",25899
"cty51685","Manassas Park city, VA",25899
"cty42121","Venango County, PA",25897
"cty26147","St. Clair County, MI",25895
"cty51017","Bath County, VA",25885
"cty17045","Edgar County, IL",25884
"cty12033","Escambia County, FL",25881
"cty26149","St. Joseph County, MI",25881
"cty18001","Adams County, IN",25871
"cty05053","Grant County, AR",25863
"cty51175","Southampton County, VA",25863
"cty20103","Leavenworth County, KS",25858
"cty29059","Dallas County, MO",25857
"cty26059","Hillsdale County, MI",25854
"cty12095","Orange County, FL",25847
"cty39163","Vinton County, OH",25845
"cty39155","Trumbull County, OH",25840
"cty26005","Allegan County, MI",25838
"cty12065","Jefferson County, FL",25834
"cty39105","Meigs County, OH",25826
"cty29017","Bollinger County, MO",25826
