"cty","Name","Individual_Income_Excluding_Spouse_rW_gM_p25"
"cty22091","St. Helena Parish, LA",33790
"cty55095","Polk County, WI",33775
"cty22003","Allen Parish, LA",33768
"cty55011","Buffalo County, WI",33763
"cty48069","Castro County, TX",33757
"cty27009","Benton County, MN",33756
"cty25021","Norfolk County, MA",33755
"cty28055","Issaquena County, MS",33754
"cty27075","Lake County, MN",33752
"cty08061","Kiowa County, CO",33732
"cty20129","Morton County, KS",33723
"cty48465","Val Verde County, TX",33706
"cty31003","Antelope County, NE",33706
"cty19023","Butler County, IA",33690
"cty20149","Pottawatomie County, KS",33680
"cty34023","Middlesex County, NJ",33673
"cty22099","St. Martin Parish, LA",33671
"cty48241","Jasper County, TX",33669
"cty08081","Moffat County, CO",33642
"cty38035","Grand Forks County, ND",33641
"cty40153","Woodward County, OK",33638
"cty39107","Mercer County, OH",33637
"cty22053","Jefferson Davis Parish, LA",33634
"cty54013","Calhoun County, WV",33631
"cty46121","Todd County, SD",33623
"cty28065","Jefferson Davis County, MS",33623
"cty29005","Atchison County, MO",33619
"cty24017","Charles County, MD",33597
"cty22011","Beauregard Parish, LA",33570
"cty27103","Nicollet County, MN",33557
"cty48435","Sutton County, TX",33556
"cty16049","Idaho County, ID",33555
"cty25019","Nantucket County, MA",33550
"cty48219","Hockley County, TX",33547
"cty31103","Keya Paha County, NE",33542
"cty17065","Hamilton County, IL",33542
"cty19083","Hardin County, IA",33534
"cty04023","Santa Cruz County, AZ",33521
"cty19191","Winneshiek County, IA",33519
"cty05013","Calhoun County, AR",33516
"cty48009","Archer County, TX",33516
"cty27159","Wadena County, MN",33516
"cty08107","Routt County, CO",33515
"cty46097","Miner County, SD",33506
"cty30035","Glacier County, MT",33505
"cty36005","Bronx County, NY",33498
"cty02275","Wrangell City and Borough, AK",33478
"cty27043","Faribault County, MN",33472
"cty30055","McCone County, MT",33471
"cty46039","Deuel County, SD",33459
"cty20117","Marshall County, KS",33452
"cty20163","Rooks County, KS",33449
"cty31033","Cheyenne County, NE",33449
"cty20189","Stevens County, KS",33449
"cty06041","Marin County, CA",33433
"cty19081","Hancock County, IA",33427
"cty19097","Jackson County, IA",33423
"cty20095","Kingman County, KS",33422
"cty27037","Dakota County, MN",33414
"cty48307","McCulloch County, TX",33399
"cty06027","Inyo County, CA",33394
"cty20055","Finney County, KS",33391
"cty08035","Douglas County, CO",33386
"cty20145","Pawnee County, KS",33380
"cty28019","Choctaw County, MS",33376
"cty30081","Ravalli County, MT",33369
"cty22089","St. Charles Parish, LA",33356
"cty31157","Scotts Bluff County, NE",33342
"cty27111","Otter Tail County, MN",33342
"cty46083","Lincoln County, SD",33338
"cty20065","Graham County, KS",33337
"cty17139","Moultrie County, IL",33329
"cty20147","Phillips County, KS",33323
"cty17067","Hancock County, IL",33316
"cty19031","Cedar County, IA",33284
"cty22001","Acadia Parish, LA",33278
"cty31179","Wayne County, NE",33268
"cty27163","Washington County, MN",33267
"cty02185","North Slope Borough, AK",33251
"cty31147","Richardson County, NE",33243
"cty48471","Walker County, TX",33227
"cty27091","Martin County, MN",33217
"cty48437","Swisher County, TX",33214
"cty34027","Morris County, NJ",33207
"cty27157","Wabasha County, MN",33202
"cty40055","Greer County, OK",33174
"cty16067","Minidoka County, ID",33171
"cty48331","Milam County, TX",33170
"cty31125","Nance County, NE",33164
"cty19043","Clayton County, IA",33163
"cty48177","Gonzales County, TX",33153
"cty48039","Brazoria County, TX",33149
"cty17193","White County, IL",33139
"cty49055","Wayne County, UT",33133
"cty48469","Victoria County, TX",33130
"cty48081","Coke County, TX",33130
"cty31133","Pawnee County, NE",33127
"cty40139","Texas County, OK",33123
"cty31111","Lincoln County, NE",33104
"cty20033","Comanche County, KS",33103
"cty06051","Mono County, CA",33101
"cty49011","Davis County, UT",33100
"cty48153","Floyd County, TX",33092
"cty48143","Erath County, TX",33071
"cty49003","Box Elder County, UT",33066
"cty32033","White Pine County, NV",33063
"cty48233","Hutchinson County, TX",33052
"cty48093","Comanche County, TX",33048
"cty36047","Kings County, NY",33041
"cty48409","San Patricio County, TX",33036
"cty08023","Costilla County, CO",32999
"cty19173","Taylor County, IA",32999
"cty02290","Yukon-Koyukuk Census Area, AK",32978
"cty48391","Refugio County, TX",32978
"cty31155","Saunders County, NE",32973
"cty02130","Ketchikan Gateway Borough, AK",32971
"cty01011","Bullock County, AL",32971
"cty19019","Buchanan County, IA",32957
"cty46027","Clay County, SD",32948
"cty36061","New York County, NY",32946
"cty08051","Gunnison County, CO",32945
"cty49019","Grand County, UT",32942
"cty49005","Cache County, UT",32940
"cty42113","Sullivan County, PA",32936
"cty08029","Delta County, CO",32933
"cty27131","Rice County, MN",32929
"cty27147","Steele County, MN",32927
"cty19157","Poweshiek County, IA",32924
"cty19093","Ida County, IA",32924
"cty46111","Sanborn County, SD",32914
"cty30005","Blaine County, MT",32903
"cty31043","Dakota County, NE",32887
"cty48207","Haskell County, TX",32887
"cty28103","Noxubee County, MS",32885
"cty27049","Goodhue County, MN",32877
"cty02170","Matanuska-Susitna Borough, AK",32876
"cty42103","Pike County, PA",32876
"cty19147","Palo Alto County, IA",32874
"cty20085","Jackson County, KS",32872
"cty20123","Mitchell County, KS",32868
"cty39067","Harrison County, OH",32860
"cty31171","Thomas County, NE",32849
"cty48239","Jackson County, TX",32839
"cty29087","Holt County, MO",32822
"cty08037","Eagle County, CO",32822
"cty48473","Waller County, TX",32810
"cty20159","Rice County, KS",32808
"cty19105","Jones County, IA",32805
"cty34019","Hunterdon County, NJ",32802
"cty22023","Cameron Parish, LA",32802
"cty48501","Yoakum County, TX",32799
"cty55015","Calumet County, WI",32792
"cty28147","Walthall County, MS",32789
"cty55061","Kewaunee County, WI",32786
"cty27065","Kanabec County, MN",32786
"cty39075","Holmes County, OH",32784
"cty48337","Montague County, TX",32784
"cty48385","Real County, TX",32780
"cty48401","Rusk County, TX",32780
