"cty","Name","Individual_Income_Excluding_Spouse_rB_gM_p25"
"cty06039","Madera County, CA",21843
"cty13033","Burke County, GA",21836
"cty12087","Monroe County, FL",21833
"cty06079","San Luis Obispo County, CA",21827
"cty22105","Tangipahoa Parish, LA",21827
"cty28065","Jefferson Davis County, MS",21827
"cty22119","Webster Parish, LA",21809
"cty48381","Randall County, TX",21806
"cty29159","Pettis County, MO",21799
"cty40131","Rogers County, OK",21793
"cty35043","Sandoval County, NM",21784
"cty13289","Twiggs County, GA",21778
"cty13069","Coffee County, GA",21769
"cty40023","Choctaw County, OK",21766
"cty05017","Chicot County, AR",21766
"cty45067","Marion County, SC",21763
"cty13207","Monroe County, GA",21760
"cty21177","Muhlenberg County, KY",21754
"cty34015","Gloucester County, NJ",21736
"cty40031","Comanche County, OK",21735
"cty42013","Blair County, PA",21734
"cty48139","Ellis County, TX",21727
"cty48089","Colorado County, TX",21722
"cty51041","Chesterfield County, VA",21712
"cty26159","Van Buren County, MI",21706
"cty42129","Westmoreland County, PA",21703
"cty13189","McDuffie County, GA",21701
"cty48423","Smith County, TX",21700
"cty36023","Cortland County, NY",21691
"cty28059","Jackson County, MS",21685
"cty08031","Denver County, CO",21683
"cty05067","Jackson County, AR",21682
"cty45063","Lexington County, SC",21678
"cty51103","Lancaster County, VA",21672
"cty28099","Neshoba County, MS",21666
"cty22071","Orleans Parish, LA",21664
"cty42039","Crawford County, PA",21649
"cty54033","Harrison County, WV",21643
"cty13165","Jenkins County, GA",21640
"cty45053","Jasper County, SC",21625
"cty28043","Grenada County, MS",21623
"cty27103","Nicollet County, MN",21611
"cty06069","San Benito County, CA",21604
"cty48355","Nueces County, TX",21599
"cty13253","Seminole County, GA",21598
"cty29183","St. Charles County, MO",21597
"cty26073","Isabella County, MI",21592
"cty28127","Simpson County, MS",21587
"cty13179","Liberty County, GA",21585
"cty39109","Miami County, OH",21584
"cty51810","Virginia Beach city, VA",21583
"cty01021","Chilton County, AL",21574
"cty22117","Washington Parish, LA",21562
"cty36083","Rensselaer County, NY",21557
"cty40123","Pontotoc County, OK",21534
"cty37139","Pasquotank County, NC",21524
"cty29023","Butler County, MO",21518
"cty28095","Monroe County, MS",21506
"cty34013","Essex County, NJ",21502
"cty13161","Jeff Davis County, GA",21493
"cty54081","Raleigh County, WV",21490
"cty47063","Hamblen County, TN",21483
"cty25011","Franklin County, MA",21480
"cty48251","Johnson County, TX",21473
"cty13001","Appling County, GA",21473
"cty45021","Cherokee County, SC",21464
"cty44007","Providence County, RI",21451
"cty47029","Cocke County, TN",21437
"cty48279","Lamb County, TX",21436
"cty19049","Dallas County, IA",21431
"cty01117","Shelby County, AL",21429
"cty48099","Coryell County, TX",21424
"cty53035","Kitsap County, WA",21424
"cty17043","DuPage County, IL",21415
"cty05043","Drew County, AR",21407
"cty35009","Curry County, NM",21407
"cty24019","Dorchester County, MD",21396
"cty53061","Snohomish County, WA",21378
"cty37091","Hertford County, NC",21373
"cty35001","Bernalillo County, NM",21369
"cty13191","McIntosh County, GA",21364
"cty45085","Sumter County, SC",21357
"cty27053","Hennepin County, MN",21354
"cty18081","Johnson County, IN",21346
"cty09015","Windham County, CT",21329
"cty28123","Scott County, MS",21323
"cty45069","Marlboro County, SC",21319
"cty09001","Fairfield County, CT",21318
"cty51099","King George County, VA",21308
"cty48293","Limestone County, TX",21300
"cty13205","Mitchell County, GA",21292
"cty17109","McDonough County, IL",21287
"cty20103","Leavenworth County, KS",21286
"cty13257","Stephens County, GA",21285
"cty55063","La Crosse County, WI",21284
"cty28017","Chickasaw County, MS",21282
"cty28145","Union County, MS",21278
"cty01003","Baldwin County, AL",21268
"cty22061","Lincoln Parish, LA",21260
"cty48477","Washington County, TX",21260
"cty26027","Cass County, MI",21258
"cty06075","San Francisco County, CA",21248
"cty01097","Mobile County, AL",21245
"cty22003","Allen Parish, LA",21236
"cty13267","Tattnall County, GA",21234
"cty28081","Lee County, MS",21202
"cty37191","Wayne County, NC",21196
"cty51131","Northampton County, VA",21187
"cty54029","Hancock County, WV",21186
"cty45039","Fairfield County, SC",21171
"cty24029","Kent County, MD",21161
"cty48167","Galveston County, TX",21159
"cty51109","Louisa County, VA",21155
"cty13087","Decatur County, GA",21141
"cty12015","Charlotte County, FL",21119
"cty48331","Milam County, TX",21117
"cty42061","Huntingdon County, PA",21116
"cty28137","Tate County, MS",21112
"cty12019","Clay County, FL",21102
"cty05041","Desha County, AR",21096
"cty47165","Sumner County, TN",21093
"cty37087","Haywood County, NC",21090
"cty13199","Meriwether County, GA",21089
"cty48257","Kaufman County, TX",21085
"cty39143","Sandusky County, OH",21082
"cty48473","Waller County, TX",21074
"cty54019","Fayette County, WV",21073
"cty39021","Champaign County, OH",21052
"cty01005","Barbour County, AL",21050
"cty12037","Franklin County, FL",21050
"cty25013","Hampden County, MA",21046
"cty24013","Carroll County, MD",21040
"cty13103","Effingham County, GA",21040
"cty37189","Watauga County, NC",21035
"cty09005","Litchfield County, CT",21033
"cty45029","Colleton County, SC",21033
"cty48037","Bowie County, TX",21027
"cty55009","Brown County, WI",21023
"cty13317","Wilkes County, GA",21023
"cty51121","Montgomery County, VA",21009
"cty55087","Outagamie County, WI",21007
"cty28121","Rankin County, MS",21007
"cty24025","Harford County, MD",20999
"cty47023","Chester County, TN",20996
"cty13133","Greene County, GA",20991
"cty51001","Accomack County, VA",20991
"cty28067","Jones County, MS",20987
"cty01125","Tuscaloosa County, AL",20986
"cty47131","Obion County, TN",20984
"cty01037","Coosa County, AL",20981
"cty06081","San Mateo County, CA",20978
"cty08001","Adams County, CO",20966
"cty19155","Pottawattamie County, IA",20963
"cty18129","Posey County, IN",20959
"cty06111","Ventura County, CA",20950
"cty37061","Duplin County, NC",20948
"cty29021","Buchanan County, MO",20941
"cty12063","Jackson County, FL",20938
"cty22063","Livingston Parish, LA",20936
"cty51550","Chesapeake city, VA",20933
"cty39097","Madison County, OH",20932
"cty13225","Peach County, GA",20932
"cty05029","Conway County, AR",20930
"cty45027","Clarendon County, SC",20930
"cty01047","Dallas County, AL",20927
"cty45055","Kershaw County, SC",20925
"cty37101","Johnston County, NC",20921
"cty19187","Webster County, IA",20919
"cty26125","Oakland County, MI",20917
"cty22087","St. Bernard Parish, LA",20917
"cty35049","Santa Fe County, NM",20912
"cty48157","Fort Bend County, TX",20910
"cty09003","Hartford County, CT",20905
"cty13127","Glynn County, GA",20885
"cty23003","Aroostook County, ME",20879
"cty39057","Greene County, OH",20856
"cty48189","Hale County, TX",20852
"cty47185","White County, TN",20850
"cty13029","Bryan County, GA",20849
"cty01083","Limestone County, AL",20843
"cty45045","Greenville County, SC",20842
"cty42077","Lehigh County, PA",20838
"cty01059","Franklin County, AL",20835
"cty05103","Ouachita County, AR",20833
"cty23011","Kennebec County, ME",20830
"cty21047","Christian County, KY",20828
"cty45077","Pickens County, SC",20820
"cty40109","Oklahoma County, OK",20817
"cty05057","Hempstead County, AR",20803
"cty45019","Charleston County, SC",20795
"cty28115","Pontotoc County, MS",20795
"cty06107","Tulare County, CA",20778
"cty29037","Cass County, MO",20775
"cty18141","St. Joseph County, IN",20761
"cty10001","Kent County, DE",20754
"cty29089","Howard County, MO",20752
"cty13027","Brooks County, GA",20752
