"cty","Name","Individual_Income_Excluding_Spouse_rB_gM_p25"
"cty26121","Muskegon County, MI",16190
"cty39155","Trumbull County, OH",16180
"cty47033","Crockett County, TN",16177
"cty12127","Volusia County, FL",16170
"cty18095","Madison County, IN",16169
"cty19127","Marshall County, IA",16166
"cty48217","Hill County, TX",16164
"cty12039","Gadsden County, FL",16138
"cty18017","Cass County, IN",16125
"cty47055","Giles County, TN",16104
"cty21097","Harrison County, KY",16069
"cty18127","Porter County, IN",16062
"cty40019","Carter County, OK",16053
"cty29031","Cape Girardeau County, MO",16038
"cty26145","Saginaw County, MI",16011
"cty51540","Charlottesville city, VA",16009
"cty13273","Terrell County, GA",15996
"cty37077","Granville County, NC",15983
"cty13023","Bleckley County, GA",15980
"cty51760","Richmond city, VA",15973
"cty33001","Belknap County, NH",15890
"cty37175","Transylvania County, NC",15882
"cty17179","Tazewell County, IL",15876
"cty17081","Jefferson County, IL",15823
"cty06007","Butte County, CA",15805
"cty26117","Montcalm County, MI",15800
"cty37109","Lincoln County, NC",15758
"cty37193","Wilkes County, NC",15740
"cty05131","Sebastian County, AR",15728
"cty47093","Knox County, TN",15725
"cty37129","New Hanover County, NC",15719
"cty39139","Richland County, OH",15714
"cty37105","Lee County, NC",15680
"cty12053","Hernando County, FL",15679
"cty12043","Glades County, FL",15675
"cty12085","Martin County, FL",15662
"cty18053","Grant County, IN",15657
"cty51163","Rockbridge County, VA",15651
"cty51750","Radford city, VA",15560
"cty51137","Orange County, VA",15554
"cty34001","Atlantic County, NJ",15547
"cty47117","Marshall County, TN",15537
"cty36037","Genesee County, NY",15524
"cty51680","Lynchburg city, VA",15520
"cty20037","Crawford County, KS",15516
"cty21075","Fulton County, KY",15483
"cty41071","Yamhill County, OR",15478
"cty18105","Monroe County, IN",15449
"cty28003","Alcorn County, MS",15439
"cty13071","Colquitt County, GA",15413
"cty54079","Putnam County, WV",15412
"cty12081","Manatee County, FL",15387
"cty47095","Lake County, TN",15386
"cty48007","Aransas County, TX",15375
"cty12069","Lake County, FL",15334
"cty17201","Winnebago County, IL",15329
"cty47189","Wilson County, TN",15295
"cty26115","Monroe County, MI",15267
"cty51690","Martinsville city, VA",15261
"cty42073","Lawrence County, PA",15227
"cty13249","Schley County, GA",15214
"cty17107","Logan County, IL",15190
"cty12007","Bradford County, FL",15180
"cty17145","Perry County, IL",15180
"cty21079","Garrard County, KY",15179
"cty42119","Union County, PA",15116
"cty48159","Franklin County, TX",15098
"cty26085","Lake County, MI",15086
"cty53045","Mason County, WA",15081
"cty17167","Sangamon County, IL",15046
"cty47089","Jefferson County, TN",15024
"cty13131","Grady County, GA",15018
"cty36117","Wayne County, NY",14980
"cty36101","Steuben County, NY",14926
"cty47179","Washington County, TN",14866
"cty17165","Saline County, IL",14848
"cty41029","Jackson County, OR",14831
"cty12103","Pinellas County, FL",14821
"cty13287","Turner County, GA",14814
"cty13259","Stewart County, GA",14794
"cty37055","Dare County, NC",14785
"cty12059","Holmes County, FL",14734
"cty06017","El Dorado County, CA",14698
"cty21021","Boyle County, KY",14605
"cty13007","Baker County, GA",14576
"cty12061","Indian River County, FL",14528
"cty27099","Mower County, MN",14504
"cty36011","Cayuga County, NY",14426
"cty18085","Kosciusko County, IN",14423
"cty05063","Independence County, AR",14416
"cty29113","Lincoln County, MO",14412
"cty51155","Pulaski County, VA",14386
"cty21017","Bourbon County, KY",14295
"cty40125","Pottawatomie County, OK",14272
"cty55059","Kenosha County, WI",14204
"cty05111","Poinsett County, AR",14086
"cty17177","Stephenson County, IL",14071
"cty37095","Hyde County, NC",13997
"cty47141","Putnam County, TN",13885
"cty39129","Pickaway County, OH",13878
"cty39101","Marion County, OH",13779
"cty13129","Gordon County, GA",13735
"cty17157","Randolph County, IL",13693
"cty51640","Galax city, VA",13690
"cty21013","Bell County, KY",13443
"cty29175","Randolph County, MO",13326
"cty47145","Roane County, TN",13301
"cty21199","Pulaski County, KY",13221
"cty12045","Gulf County, FL",13189
"cty39047","Fayette County, OH",13095
"cty21123","Larue County, KY",13066
"cty26023","Branch County, MI",13009
"cty51520","Bristol city, VA",12905
"cty48437","Swisher County, TX",12905
"cty27169","Winona County, MN",12760
"cty26123","Newaygo County, MI",12748
"cty39027","Clinton County, OH",12674
"cty48281","Lampasas County, TX",12672
"cty21167","Mercer County, KY",12583
"cty21095","Harlan County, KY",12568
"cty21103","Henry County, KY",12212
"cty29043","Christian County, MO",11761
"cty48445","Terry County, TX",11612
"cty18065","Henry County, IN",11499
"cty21019","Boyd County, KY",11301
"cty20015","Butler County, KS",11243
"cty34041","Warren County, NJ",11048
"cty39071","Highland County, OH",10986
"cty39005","Ashland County, OH",10821
"cty16005","Bannock County, ID",10455
"cty55081","Monroe County, WI",10256
"cty21193","Perry County, KY",9812
"cty47059","Greene County, TN",9584
"cty51191","Washington County, VA",9394
"cty05117","Prairie County, AR",9326
"cty18059","Hancock County, IN",9151
"cty40141","Tillman County, OK",8945
"cty51195","Wise County, VA",8475
"cty39015","Brown County, OH",8301
"cty18107","Montgomery County, IN",6845
"cty40055","Greer County, OK",6463
"cty26157","Tuscola County, MI",744
"cty46035","Davison County, SD",
"cty35055","Taos County, NM",
"cty38071","Ramsey County, ND",
"cty46071","Jackson County, SD",
"cty46137","Ziebach County, SD",
"cty35053","Socorro County, NM",
"cty31157","Scotts Bluff County, NE",
"cty46129","Walworth County, SD",
"cty27029","Clearwater County, MN",
"cty46031","Corson County, SD",
"cty46007","Bennett County, SD",
"cty02070","Dillingham Census Area, AK",
"cty05113","Polk County, AR",
"cty49013","Duchesne County, UT",
"cty27119","Polk County, MN",
"cty30035","Glacier County, MT",
"cty46123","Tripp County, SD",
"cty02158","Kusilvak Census Area, AK",
"cty46065","Hughes County, SD",
"cty30073","Pondera County, MT",
"cty31107","Knox County, NE",
"cty40011","Blaine County, OK",
"cty38005","Benson County, ND",
"cty38059","Morton County, ND",
"cty30005","Blaine County, MT",
"cty30085","Roosevelt County, MT",
"cty46109","Roberts County, SD",
"cty29119","McDonald County, MO",
"cty38085","Sioux County, ND",
"cty02050","Bethel Census Area, AK",
"cty56013","Fremont County, WY",
"cty27021","Cass County, MN",
"cty27095","Mille Lacs County, MN",
"cty46029","Codington County, SD",
"cty38053","McKenzie County, ND",
"cty46121","Todd County, SD",
"cty20013","Brown County, KS",
"cty46102","Oglala Lakota County, SD",
"cty26013","Baraga County, MI",
"cty38015","Burleigh County, ND",
"cty31173","Thurston County, NE",
"cty02164","Lake and Peninsula Borough, AK",
"cty35006","Cibola County, NM",
"cty38105","Williams County, ND",
"cty46023","Charles Mix County, SD",
"cty04009","Graham County, AZ",
"cty27027","Clay County, MN",
"cty35039","Rio Arriba County, NM",
"cty04007","Gila County, AZ",
"cty55013","Burnett County, WI",
"cty46041","Dewey County, SD",
"cty40001","Adair County, OK",
"cty30087","Rosebud County, MT",
"cty08083","Montezuma County, CO",
"cty37099","Jackson County, NC",
"cty40127","Pushmataha County, OK",
"cty40067","Jefferson County, OK",
"cty27005","Becker County, MN",
"cty27087","Mahnomen County, MN",
"cty30047","Lake County, MT",
"cty40063","Hughes County, OK",
"cty27007","Beltrami County, MN",
"cty46017","Buffalo County, SD",
"cty06021","Glenn County, CA",
"cty41033","Josephine County, OR",
"cty49047","Uintah County, UT",
"cty40077","Latimer County, OK",
"cty30041","Hill County, MT",
"cty38055","McLean County, ND",
"cty49037","San Juan County, UT",
"cty49053","Washington County, UT",
"cty30003","Big Horn County, MT",
"cty30049","Lewis and Clark County, MT",
"cty46085","Lyman County, SD",
"cty40041","Delaware County, OK",
"cty20085","Jackson County, KS",
"cty49021","Iron County, UT",
"cty38079","Rolette County, ND",
"cty23029","Washington County, ME",
"cty31161","Sheridan County, NE",
"cty27061","Itasca County, MN",
"cty40073","Kingfisher County, OK",
"cty46047","Fall River County, SD",
"cty40099","Murray County, OK",
"cty53027","Grays Harbor County, WA",
"cty53017","Douglas County, WA",
"cty38061","Mountrail County, ND",
"cty55078","Menominee County, WI",
"cty55113","Sawyer County, WI",
"cty27115","Pine County, MN",
"cty40029","Coal County, OK",
"cty16011","Bingham County, ID",
"cty30029","Flathead County, MT",
"cty02188","Northwest Arctic Borough, AK",
"cty40103","Noble County, OK",
"cty16009","Benewah County, ID",
"cty37173","Swain County, NC",
"cty50011","Franklin County, VT",
"cty41041","Lincoln County, OR",
"cty53007","Chelan County, WA",
"cty04012","La Paz County, AZ",
"cty55031","Douglas County, WI",
"cty02290","Yukon-Koyukuk Census Area, AK",
"cty40069","Johnston County, OK",
"cty40021","Cherokee County, OK",
"cty46101","Moody County, SD",
"cty41065","Wasco County, OR",
"cty27111","Otter Tail County, MN",
"cty55053","Jackson County, WI",
"cty27017","Carlton County, MN",
"cty46027","Clay County, SD",
"cty26019","Benzie County, MI",
"cty30093","Silver Bow County, MT",
"cty04001","Apache County, AZ",
"cty02180","Nome Census Area, AK",
"cty06035","Lassen County, CA",
"cty40005","Atoka County, OK",
"cty40061","Haskell County, OK",
"cty02013","Aleutians East Borough, AK",
"cty40117","Pawnee County, OK",
"cty06027","Inyo County, CA",
"cty26033","Chippewa County, MI",
"cty53019","Ferry County, WA",
"cty40097","Mayes County, OK",
"cty02261","Valdez-Cordova Census Area, AK",
"cty40105","Nowata County, OK",
"cty40115","Ottawa County, OK",
"cty55007","Bayfield County, WI",
"cty26097","Mackinac County, MI",
"cty26109","Menominee County, MI",
"cty02198","Prince of Wales-Hyder Census Area, AK",
"cty16069","Nez Perce County, ID",
"cty20021","Cherokee County, KS",
"cty08067","La Plata County, CO",
"cty55141","Wood County, WI",
"cty40095","Marshall County, OK",
"cty41059","Umatilla County, OR",
"cty40153","Woodward County, OK",
"cty32007","Elko County, NV",
"cty53031","Jefferson County, WA",
"cty06015","Del Norte County, CA",
"cty41015","Curry County, OR",
"cty41011","Coos County, OR",
"cty32019","Lyon County, NV",
"cty30031","Gallatin County, MT",
"cty55041","Forest County, WI",
"cty26031","Cheboygan County, MI",
"cty06057","Nevada County, CA",
"cty53065","Stevens County, WA",
"cty55003","Ashland County, WI",
"cty36033","Franklin County, NY",
"cty41007","Clatsop County, OR",
"cty26153","Schoolcraft County, MI",
"cty26095","Luce County, MI",
"cty26089","Leelanau County, MI",
"cty41031","Jefferson County, OR",
"cty16055","Kootenai County, ID",
"cty53047","Okanogan County, WA",
"cty06005","Amador County, CA",
"cty41043","Linn County, OR",
"cty32005","Douglas County, NV",
"cty55083","Oconto County, WI",
"cty26041","Delta County, MI",
"cty40033","Cotton County, OK",
"cty26047","Emmet County, MI",
"cty55115","Shawano County, WI",
"cty02220","Sitka City and Borough, AK",
"cty26029","Charlevoix County, MI",
"cty56005","Campbell County, WY",
"cty20191","Sumner County, KS",
"cty02130","Ketchikan Gateway Borough, AK",
"cty49005","Cache County, UT",
"cty02110","Juneau City and Borough, AK",
"cty02150","Kodiak Island Borough, AK",
"cty41009","Columbia County, OR",
"cty02122","Kenai Peninsula Borough, AK",
"cty46013","Brown County, SD",
"cty56037","Sweetwater County, WY",
"cty55015","Calumet County, WI",
"cty02185","North Slope Borough, AK",
"cty19171","Tama County, IA",
"cty48269","King County, TX",
"cty29067","Douglas County, MO",
"cty54091","Taylor County, WV",
"cty21159","Martin County, KY",
"cty23013","Knox County, ME",
"cty16065","Madison County, ID",
"cty18117","Orange County, IN",
"cty29111","Lewis County, MO",
"cty48399","Runnels County, TX",
"cty20105","Lincoln County, KS",
"cty55123","Vernon County, WI",
"cty32013","Humboldt County, NV",
"cty40053","Grant County, OK",
"cty17173","Shelby County, IL",
"cty30079","Prairie County, MT",
"cty48083","Coleman County, TX",
"cty19071","Fremont County, IA",
"cty17159","Richland County, IL",
"cty39019","Carroll County, OH",
"cty38067","Pembina County, ND",
"cty72025","Caguas Municipio, PR",
"cty51017","Bath County, VA",
"cty46115","Spink County, SD",
"cty35017","Grant County, NM",
"cty47083","Houston County, TN",
"cty31025","Cass County, NE",
"cty27023","Chippewa County, MN",
"cty19083","Hardin County, IA",
"cty40057","Harmon County, OK",
"cty47153","Sequatchie County, TN",
"cty49009","Daggett County, UT",
"cty20195","Trego County, KS",
"cty46079","Lake County, SD",
"cty19017","Bremer County, IA",
"cty42111","Somerset County, PA",
"cty20081","Haskell County, KS",
"cty53049","Pacific County, WA",
"cty54065","Morgan County, WV",
"cty38103","Wells County, ND",
"cty40007","Beaver County, OK",
"cty40025","Cimarron County, OK",
"cty48385","Real County, TX",
"cty19167","Sioux County, IA",
"cty72003","Aguada Municipio, PR",
"cty19177","Van Buren County, IA",
"cty53023","Garfield County, WA",
"cty35027","Lincoln County, NM",
"cty54005","Boone County, WV",
"cty27039","Dodge County, MN",
"cty47061","Grundy County, TN",
"cty41021","Gilliam County, OR",
"cty21203","Rockcastle County, KY",
"cty16047","Gooding County, ID",
"cty46105","Perkins County, SD",
"cty31045","Dawes County, NE",
"cty72133","Santa Isabel Municipio, PR",
"cty72035","Cayey Municipio, PR",
"cty17067","Hancock County, IL",
"cty20145","Pawnee County, KS",
"cty56043","Washakie County, WY",
"cty19027","Carroll County, IA",
"cty55011","Buffalo County, WI",
"cty26011","Arenac County, MI",
"cty21041","Carroll County, KY",
"cty54043","Lincoln County, WV",
"cty48461","Upton County, TX",
"cty21147","McCreary County, KY",
"cty31177","Washington County, NE",
"cty55001","Adams County, WI",
"cty05149","Yell County, AR",
"cty19165","Shelby County, IA",
"cty26155","Shiawassee County, MI",
"cty39125","Paulding County, OH",
"cty48125","Dickens County, TX",
"cty19055","Delaware County, IA",
"cty16029","Caribou County, ID",
"cty21215","Spencer County, KY",
"cty27059","Isanti County, MN",
"cty20179","Sheridan County, KS",
"cty42127","Wayne County, PA",
"cty46107","Potter County, SD",
"cty48427","Starr County, TX",
"cty06091","Sierra County, CA",
"cty27097","Morrison County, MN",
"cty08093","Park County, CO",
"cty38019","Cavalier County, ND",
"cty46037","Day County, SD",
"cty47171","Unicoi County, TN",
"cty16013","Blaine County, ID",
"cty46051","Grant County, SD",
"cty19121","Madison County, IA",
"cty13213","Murray County, GA",
"cty53055","San Juan County, WA",
"cty20163","Rooks County, KS",
"cty72054","Florida Municipio, PR",
"cty27173","Yellow Medicine County, MN",
"cty54073","Pleasants County, WV",
"cty29061","Daviess County, MO",
"cty48501","Yoakum County, TX",
"cty55017","Chippewa County, WI",
"cty06049","Modoc County, CA",
"cty38045","LaMoure County, ND",
"cty20031","Coffey County, KS",
"cty29125","Maries County, MO",
"cty08023","Costilla County, CO",
"cty26053","Gogebic County, MI",
"cty31129","Nuckolls County, NE",
"cty48237","Jack County, TX",
"cty27011","Big Stone County, MN",
"cty16081","Teton County, ID",
"cty19029","Cass County, IA",
"cty16051","Jefferson County, ID",
"cty48031","Blanco County, TX",
"cty42117","Tioga County, PA",
"cty13025","Brantley County, GA",
"cty19159","Ringgold County, IA",
"cty49017","Garfield County, UT",
"cty33003","Carroll County, NH",
"cty30091","Sheridan County, MT",
"cty37121","Mitchell County, NC",
"cty19131","Mitchell County, IA",
"cty46063","Harding County, SD",
"cty48483","Wheeler County, TX",
"cty56041","Uinta County, WY",
"cty38087","Slope County, ND",
"cty08043","Fremont County, CO",
"cty72087","Loiza Municipio, PR",
"cty39135","Preble County, OH",
"cty05009","Boone County, AR",
"cty26105","Mason County, MI",
"cty53059","Skamania County, WA",
"cty08107","Routt County, CO",
"cty72011","Anasco Municipio, PR",
"cty48143","Erath County, TX",
"cty02275","Wrangell City and Borough, AK",
"cty30027","Fergus County, MT",
"cty48299","Llano County, TX",
"cty29179","Reynolds County, MO",
"cty02240","Southeast Fairbanks Census Area, AK",
"cty42083","McKean County, PA",
"cty27101","Murray County, MN",
"cty17071","Henderson County, IL",
"cty26039","Crawford County, MI",
"cty46025","Clark County, SD",
"cty47111","Macon County, TN",
"cty48095","Concho County, TX",
"cty37113","Macon County, NC",
"cty48045","Briscoe County, TX",
"cty30023","Deer Lodge County, MT",
"cty08039","Elbert County, CO",
"cty27153","Todd County, MN",
"cty31049","Deuel County, NE",
"cty20185","Stafford County, KS",
"cty08057","Jackson County, CO",
"cty72099","Moca Municipio, PR",
"cty48193","Hamilton County, TX",
"cty40151","Woods County, OK",
"cty20147","Phillips County, KS",
"cty26059","Hillsdale County, MI",
"cty17083","Jersey County, IL",
"cty31133","Pawnee County, NE",
"cty48417","Shackelford County, TX",
"cty29057","Dade County, MO",
"cty47137","Pickett County, TN",
"cty48259","Kendall County, TX",
"cty35057","Torrance County, NM",
"cty05089","Marion County, AR",
"cty55061","Kewaunee County, WI",
"cty54075","Pocahontas County, WV",
"cty27067","Kandiyohi County, MN",
"cty16015","Boise County, ID",
"cty48335","Mitchell County, TX",
"cty19143","Osceola County, IA",
"cty47087","Jackson County, TN",
"cty35059","Union County, NM",
"cty30061","Mineral County, MT",
"cty37011","Avery County, NC",
"cty72135","Toa Alta Municipio, PR",
"cty30099","Teton County, MT",
"cty35037","Quay County, NM",
"cty16023","Butte County, ID",
"cty31033","Cheyenne County, NE",
"cty27131","Rice County, MN",
"cty08117","Summit County, CO",
"cty39073","Hocking County, OH",
"cty05087","Madison County, AR",
"cty20141","Osborne County, KS",
"cty48255","Karnes County, TX",
"cty17013","Calhoun County, IL",
"cty37009","Ashe County, NC",
"cty20049","Elk County, KS",
"cty13281","Towns County, GA",
"cty72063","Gurabo Municipio, PR",
"cty47133","Overton County, TN",
"cty49003","Box Elder County, UT",
"cty31147","Richardson County, NE",
"cty38011","Bowman County, ND",
"cty39105","Meigs County, OH",
"cty38041","Hettinger County, ND",
"cty21223","Trimble County, KY",
"cty20009","Barton County, KS",
"cty31075","Grant County, NE",
"cty29207","Stoddard County, MO",
"cty08119","Teller County, CO",
"cty54101","Webster County, WV",
"cty26165","Wexford County, MI",
"cty30019","Daniels County, MT",
"cty31061","Franklin County, NE",
"cty72081","Lares Municipio, PR",
"cty29015","Benton County, MO",
"cty48047","Brooks County, TX",
"cty20051","Ellis County, KS",
"cty26143","Roscommon County, MI",
"cty42087","Mifflin County, PA",
"cty31039","Cuming County, NE",
"cty72001","Adjuntas Municipio, PR",
"cty51021","Bland County, VA",
"cty48359","Oldham County, TX",
"cty72075","Juana Diaz Municipio, PR",
"cty47041","DeKalb County, TN",
"cty56003","Big Horn County, WY",
"cty54023","Grant County, WV",
"cty26133","Osceola County, MI",
"cty54001","Barbour County, WV",
"cty21045","Casey County, KY",
"cty30071","Phillips County, MT",
"cty32033","White Pine County, NV",
"cty48421","Sherman County, TX",
"cty56039","Teton County, WY",
"cty17033","Crawford County, IL",
"cty38031","Foster County, ND",
"cty40043","Dewey County, OK",
"cty18075","Jay County, IN",
"cty55023","Crawford County, WI",
"cty19053","Decatur County, IA",
"cty31131","Otoe County, NE",
"cty21231","Wayne County, KY",
"cty50009","Essex County, VT",
"cty72015","Arroyo Municipio, PR",
"cty38051","McIntosh County, ND",
"cty24023","Garrett County, MD",
"cty20199","Wallace County, KS",
"cty48507","Zavala County, TX",
"cty26137","Otsego County, MI",
"cty31001","Adams County, NE",
"cty20063","Gove County, KS",
"cty13227","Pickens County, GA",
"cty49051","Wasatch County, UT",
"cty17155","Putnam County, IL",
"cty47025","Claiborne County, TN",
"cty08065","Lake County, CO",
"cty27077","Lake of the Woods County, MN",
"cty38099","Walsh County, ND",
"cty38033","Golden Valley County, ND",
"cty26043","Dickinson County, MI",
"cty18183","Whitley County, IN",
"cty54097","Upshur County, WV",
"cty26009","Antrim County, MI",
"cty21003","Allen County, KY",
"cty31009","Blaine County, NE",
"cty72095","Maunabo Municipio, PR",
"cty04023","Santa Cruz County, AZ",
"cty18061","Harrison County, IN",
"cty17055","Franklin County, IL",
"cty17049","Effingham County, IL",
"cty54013","Calhoun County, WV",
"cty18037","Dubois County, IN",
"cty21027","Breckinridge County, KY",
"cty48325","Medina County, TX",
"cty08095","Phillips County, CO",
"cty38007","Billings County, ND",
"cty18055","Greene County, IN",
"cty38077","Richland County, ND",
"cty27009","Benton County, MN",
"cty31123","Morrill County, NE",
"cty31077","Greeley County, NE",
"cty72089","Luquillo Municipio, PR",
"cty18135","Randolph County, IN",
"cty41061","Union County, OR",
"cty42109","Snyder County, PA",
"cty32023","Nye County, NV",
"cty08007","Archuleta County, CO",
"cty42015","Bradford County, PA",
"cty20159","Rice County, KS",
"cty31165","Sioux County, NE",
"cty48075","Childress County, TX",
"cty48069","Castro County, TX",
"cty48191","Hall County, TX",
"cty50013","Grand Isle County, VT",
"cty05137","Stone County, AR",
"cty21119","Knott County, KY",
"cty17059","Gallatin County, IL",
"cty48275","Knox County, TX",
"cty29063","DeKalb County, MO",
"cty31127","Nemaha County, NE",
"cty72147","Vieques Municipio, PR",
"cty16061","Lewis County, ID",
"cty27033","Cottonwood County, MN",
"cty39175","Wyandot County, OH",
"cty46045","Edmunds County, SD",
"cty02282","Yakutat City and Borough, AK",
"cty39161","Van Wert County, OH",
"cty30081","Ravalli County, MT",
"cty16073","Owyhee County, ID",
"cty46043","Douglas County, SD",
"cty21191","Pendleton County, KY",
"cty49007","Carbon County, UT",
"cty31029","Chase County, NE",
"cty17023","Clark County, IL",
"cty05083","Logan County, AR",
"cty47175","Van Buren County, TN",
"cty50021","Rutland County, VT",
"cty48369","Parmer County, TX",
"cty31035","Clay County, NE",
"cty31011","Boone County, NE",
"cty05135","Sharp County, AR",
"cty35023","Hidalgo County, NM",
"cty41001","Baker County, OR",
"cty31063","Frontier County, NE",
"cty21197","Powell County, KY",
"cty20033","Comanche County, KS",
"cty19095","Iowa County, IA",
"cty17087","Johnson County, IL",
"cty31079","Hall County, NE",
"cty27155","Traverse County, MN",
"cty08021","Conejos County, CO",
"cty12067","Lafayette County, FL",
"cty47067","Hancock County, TN",
"cty19021","Buena Vista County, IA",
"cty42047","Elk County, PA",
"cty29223","Wayne County, MO",
"cty32015","Lander County, NV",
"cty20151","Pratt County, KS",
"cty55027","Dodge County, WI",
"cty29087","Holt County, MO",
"cty19089","Howard County, IA",
"cty29181","Ripley County, MO",
"cty41057","Tillamook County, OR",
"cty13125","Glascock County, GA",
"cty21235","Whitley County, KY",
"cty08071","Las Animas County, CO",
"cty27025","Chisago County, MN",
"cty19161","Sac County, IA",
"cty08003","Alamosa County, CO",
"cty48431","Sterling County, TX",
"cty27063","Jackson County, MN",
"cty20001","Allen County, KS",
"cty18151","Steuben County, IN",
"cty46117","Stanley County, SD",
"cty39115","Morgan County, OH",
"cty16083","Twin Falls County, ID",
"cty20123","Mitchell County, KS",
"cty72079","Lajas Municipio, PR",
"cty31151","Saline County, NE",
"cty20203","Wichita County, KS",
"cty72103","Naguabo Municipio, PR",
"cty08089","Otero County, CO",
"cty51169","Scott County, VA",
"cty29139","Montgomery County, MO",
"cty29109","Lawrence County, MO",
"cty42035","Clinton County, PA",
"cty08085","Montrose County, CO",
"cty38009","Bottineau County, ND",
"cty26101","Manistee County, MI",
"cty49039","Sanpete County, UT",
"cty50019","Orleans County, VT",
"cty20007","Barber County, KS",
"cty29215","Texas County, MO",
"cty16025","Camas County, ID",
"cty13241","Rabun County, GA",
"cty29079","Grundy County, MO",
"cty26003","Alger County, MI",
"cty17147","Piatt County, IL",
"cty23021","Piscataquis County, ME",
"cty17025","Clay County, IL",
"cty05023","Cleburne County, AR",
"cty48035","Bosque County, TX",
"cty16037","Custer County, ID",
"cty48175","Goliad County, TX",
"cty48019","Bandera County, TX",
"cty55095","Polk County, WI",
"cty48079","Cochran County, TX",
"cty29205","Shelby County, MO",
"cty16041","Franklin County, ID",
"cty30089","Sanders County, MT",
"cty26141","Presque Isle County, MI",
"cty21043","Carter County, KY",
"cty48249","Jim Wells County, TX",
"cty26051","Gladwin County, MI",
"cty54035","Jackson County, WV",
"cty20023","Cheyenne County, KS",
"cty54027","Hampshire County, WV",
"cty30015","Chouteau County, MT",
"cty29129","Mercer County, MO",
"cty18007","Benton County, IN",
"cty72131","San Sebastian Municipio, PR",
"cty05141","Van Buren County, AR",
"cty30109","Wibaux County, MT",
"cty16077","Power County, ID",
"cty29153","Ozark County, MO",
"cty31073","Gosper County, NE",
"cty27165","Watonwan County, MN",
"cty05055","Greene County, AR",
"cty29073","Gasconade County, MO",
"cty51035","Carroll County, VA",
"cty54087","Roane County, WV",
"cty38021","Dickey County, ND",
"cty19173","Taylor County, IA",
"cty30025","Fallon County, MT",
"cty31093","Howard County, NE",
"cty46003","Aurora County, SD",
"cty72077","Juncos Municipio, PR",
"cty55129","Washburn County, WI",
"cty38073","Ransom County, ND",
"cty72137","Toa Baja Municipio, PR",
"cty72007","Aguas Buenas Municipio, PR",
"cty56045","Weston County, WY",
"cty27161","Waseca County, MN",
"cty38065","Oliver County, ND",
"cty48155","Foard County, TX",
"cty21139","Livingston County, KY",
"cty18113","Noble County, IN",
"cty46049","Faulk County, SD",
"cty20119","Meade County, KS",
"cty21165","Menifee County, KY",
"cty54017","Doddridge County, WV",
"cty29017","Bollinger County, MO",
"cty72055","Guanica Municipio, PR",
"cty30103","Treasure County, MT",
"cty18149","Starke County, IN",
"cty21091","Hancock County, KY",
"cty46005","Beadle County, SD",
"cty54045","Logan County, WV",
"cty27129","Renville County, MN",
"cty27079","Le Sueur County, MN",
"cty29013","Bates County, MO",
"cty17075","Iroquois County, IL",
"cty18025","Crawford County, IN",
"cty27035","Crow Wing County, MN",
"cty42131","Wyoming County, PA",
"cty19087","Henry County, IA",
"cty20087","Jefferson County, KS",
"cty72113","Ponce Municipio, PR",
"cty27157","Wabasha County, MN",
"cty47127","Moore County, TN",
"cty42115","Susquehanna County, PA",
"cty29186","Ste. Genevieve County, MO",
"cty19047","Crawford County, IA",
"cty38093","Stutsman County, ND",
"cty08045","Garfield County, CO",
"cty48229","Hudspeth County, TX",
"cty39159","Union County, OH",
"cty30017","Custer County, MT",
"cty19011","Benton County, IA",
"cty39117","Morrow County, OH",
"cty20067","Grant County, KS",
"cty21149","McLean County, KY",
"cty27135","Roseau County, MN",
"cty27057","Hubbard County, MN",
"cty30043","Jefferson County, MT",
"cty72139","Trujillo Alto Municipio, PR",
"cty26083","Keweenaw County, MI",
"cty05101","Newton County, AR",
"cty47015","Cannon County, TN",
"cty27125","Red Lake County, MN",
"cty72125","San German Municipio, PR",
"cty17149","Pike County, IL",
"cty49015","Emery County, UT",
"cty55057","Juneau County, WI",
"cty49031","Piute County, UT",
"cty54099","Wayne County, WV",
"cty05109","Pike County, AR",
"cty37199","Yancey County, NC",
"cty21131","Leslie County, KY",
"cty72083","Las Marias Municipio, PR",
"cty55077","Marquette County, WI",
"cty56019","Johnson County, WY",
"cty23009","Hancock County, ME",
"cty48267","Kimble County, TX",
"cty72029","Canovanas Municipio, PR",
"cty51077","Grayson County, VA",
"cty35021","Harding County, NM",
"cty29197","Schuyler County, MO",
"cty48333","Mills County, TX",
"cty16049","Idaho County, ID",
"cty08113","San Miguel County, CO",
"cty21025","Breathitt County, KY",
"cty19191","Winneshiek County, IA",
"cty18021","Clay County, IN",
"cty20097","Kiowa County, KS",
"cty08097","Pitkin County, CO",
"cty23007","Franklin County, ME",
"cty48323","Maverick County, TX",
"cty17193","White County, IL",
"cty19051","Davis County, IA",
"cty48087","Collingsworth County, TX",
"cty19085","Harrison County, IA",
"cty27065","Kanabec County, MN",
"cty40045","Ellis County, OK",
"cty39075","Holmes County, OH",
"cty26063","Huron County, MI",
"cty54089","Summers County, WV",
"cty38081","Sargent County, ND",
"cty48151","Fisher County, TX",
"cty19147","Palo Alto County, IA",
"cty48017","Bailey County, TX",
"cty17017","Cass County, IL",
"cty27089","Marshall County, MN",
"cty20181","Sherman County, KS",
"cty29171","Putnam County, MO",
"cty48319","Mason County, TX",
"cty08099","Prowers County, CO",
"cty16079","Shoshone County, ID",
"cty39137","Putnam County, OH",
"cty46075","Jones County, SD",
